run_label,view_distance,cells_per_axis,min_footprint_cells,max_footprint_cells,seed,chunk_size,building_chunk_radius,max_buildings_per_chunk,elapsed_seconds,distance_world,fps,active_chunks,generated_chunks_delta,analyzed_chunks_delta,wfc_attempts_delta,wfc_successes_delta,wfc_failures_delta,active_building_chunks,active_building_blueprints,avg_chunk_generation_ms,avg_analysis_ms,avg_wfc_ms,last_chunk_generation_ms,last_analysis_ms,last_wfc_ms,visible_buildable_cells,visible_buildable_ratio,allocated_memory_mb,gpu_texture_mb
baseline_b_3,10,16,3,5,202,128,10,1,0,0,166.4355,441,0,0,0,0,0,217,217,707.8593,0.4277,0.0288,1026.824,0.422,0.0088,31200,0.2764,628.3969,27.5625
baseline_b_3,10,16,3,5,202,128,10,1,0.0043,0.1583,221.1044,441,0,0,0,0,0,217,217,707.8593,0.4277,0.0288,1026.824,0.422,0.0088,31200,0.2764,628.4396,27.5625
baseline_b_3,10,16,3,5,202,128,10,1,0.5081,17.7925,168.0884,441,0,0,0,0,0,217,217,707.8593,0.4277,0.0288,1026.824,0.422,0.0088,31200,0.2764,626.9833,27.5625
baseline_b_3,10,16,3,5,202,128,10,1,1.0105,35.3748,415.1388,441,0,0,0,0,0,217,217,707.8593,0.4277,0.0288,1026.824,0.422,0.0088,31200,0.2764,624.9113,27.5625
baseline_b_3,10,16,3,5,202,128,10,1,1.5106,52.8783,392.0608,441,0,0,0,0,0,217,217,707.8593,0.4277,0.0288,1026.824,0.422,0.0088,31200,0.2764,622.8883,27.5625
baseline_b_3,10,16,3,5,202,128,10,1,2.0163,70.5795,167.9343,441,0,0,0,0,0,217,217,707.8593,0.4277,0.0288,1026.824,0.422,0.0088,31200,0.2764,622.7429,27.5625
baseline_b_3,10,16,3,5,202,128,10,1,2.5164,88.0831,163.8516,441,0,0,0,0,0,217,217,707.8593,0.4277,0.0288,1026.824,0.422,0.0088,31200,0.2764,622.727,27.5625
baseline_b_3,10,16,3,5,202,128,10,1,3.0166,105.5905,162.2334,441,0,0,0,0,0,217,217,707.8593,0.4277,0.0288,1026.824,0.422,0.0088,31200,0.2764,622.7269,27.5625
baseline_b_3,10,16,3,5,202,128,10,1,3.5186,123.1608,448.9253,441,0,0,0,0,0,217,217,707.8593,0.4277,0.0288,1026.824,0.422,0.0088,31200,0.2764,622.7155,27.5625
baseline_b_3,10,16,3,5,202,128,10,1,4.0206,140.7305,439.9877,462,21,21,6,6,0,223,223,676.6771,0.4279,0.0283,35.0857,0.4168,0.0095,32254,0.2727,642.8128,28.875
baseline_b_3,10,16,3,5,202,128,10,1,4.5222,158.2835,417.0359,462,21,21,6,6,0,223,223,676.6771,0.4279,0.0283,35.0857,0.4168,0.0095,32254,0.2727,642.644,28.875
baseline_b_3,10,16,3,5,202,128,10,1,5.0226,175.7975,434.9717,462,21,21,6,6,0,223,223,676.6771,0.4279,0.0283,35.0857,0.4168,0.0095,32254,0.2727,642.642,28.875
baseline_b_3,10,16,3,5,202,128,10,1,5.5245,193.3647,435.0031,462,21,21,6,6,0,223,223,676.6771,0.4279,0.0283,35.0857,0.4168,0.0095,32254,0.2727,642.6372,28.875
baseline_b_3,10,16,3,5,202,128,10,1,6.025,210.8824,429.3919,462,21,21,6,6,0,223,223,676.6771,0.4279,0.0283,35.0857,0.4168,0.0095,32254,0.2727,642.6339,28.875
baseline_b_3,10,16,3,5,202,128,10,1,6.5257,228.4066,430.5861,462,21,21,6,6,0,223,223,676.6771,0.4279,0.0283,35.0857,0.4168,0.0095,32254,0.2727,642.4799,28.875
baseline_b_3,10,16,3,5,202,128,10,1,7.026,245.9172,431.7556,462,21,21,6,6,0,223,223,676.6771,0.4279,0.0283,35.0857,0.4168,0.0095,32254,0.2727,642.4785,28.875
baseline_b_3,10,16,3,5,202,128,10,1,7.5284,263.5022,393.0689,483,42,42,10,10,0,227,227,648.2427,0.4276,0.0278,36.6421,0.3977,0.0095,33025,0.2671,662.2944,30.1875
baseline_b_3,10,16,3,5,202,128,10,1,8.0307,281.0816,438.3402,483,42,42,10,10,0,227,227,648.2427,0.4276,0.0278,36.6421,0.3977,0.0095,33025,0.2671,662.3528,30.1875
baseline_b_3,10,16,3,5,202,128,10,1,8.5309,298.588,463.1238,483,42,42,10,10,0,227,227,648.2427,0.4276,0.0278,36.6421,0.3977,0.0095,33025,0.2671,662.4944,30.1875
baseline_b_3,10,16,3,5,202,128,10,1,9.0317,316.1189,465.2245,483,42,42,10,10,0,227,227,648.2427,0.4276,0.0278,36.6421,0.3977,0.0095,33025,0.2671,662.2945,30.1875
baseline_b_3,10,16,3,5,202,128,10,1,9.5332,333.6694,468.7042,483,42,42,10,10,0,227,227,648.2427,0.4276,0.0278,36.6421,0.3977,0.0095,33025,0.2671,662.5363,30.1875
baseline_b_3,10,16,3,5,202,128,10,1,10.0343,351.2096,472.5433,483,42,42,10,10,0,227,227,648.2427,0.4276,0.0278,36.6421,0.3977,0.0095,33025,0.2671,662.5289,30.1875
baseline_b_3,10,16,3,5,202,128,10,1,10.535,368.7315,489.9859,483,42,42,10,10,0,227,227,648.2427,0.4276,0.0278,36.6421,0.3977,0.0095,33025,0.2671,662.2945,30.1875
baseline_b_3,10,16,3,5,202,128,10,1,11.036,386.2667,426.0381,483,63,63,20,20,0,229,229,622.6564,0.4276,0.0275,53.3981,0.4101,0.0191,33111,0.2678,662.563,30.1875
baseline_b_3,10,16,3,5,202,128,10,1,11.5413,403.9526,173.4079,483,63,63,20,20,0,229,229,622.6564,0.4276,0.0275,53.3981,0.4101,0.0191,33111,0.2678,662.5476,30.1875
baseline_b_3,10,16,3,5,202,128,10,1,12.0413,421.455,165.1335,483,63,63,20,20,0,229,229,622.6564,0.4276,0.0275,53.3981,0.4101,0.0191,33111,0.2678,662.6928,30.1875
baseline_b_3,10,16,3,5,202,128,10,1,12.5436,439.0335,425.4338,483,63,63,20,20,0,229,229,622.6564,0.4276,0.0275,53.3981,0.4101,0.0191,33111,0.2678,662.3991,30.1875
baseline_b_3,10,16,3,5,202,128,10,1,13.0495,456.7418,164.2002,483,63,63,20,20,0,229,229,622.6564,0.4276,0.0275,53.3981,0.4101,0.0191,33111,0.2678,662.5956,30.1875
baseline_b_3,10,16,3,5,202,128,10,1,13.5497,474.2484,162.1512,483,63,63,20,20,0,229,229,622.6564,0.4276,0.0275,53.3981,0.4101,0.0191,33111,0.2678,662.5869,30.1875
baseline_b_3,10,16,3,5,202,128,10,1,14.05,491.7595,161.9116,483,63,63,20,20,0,229,229,622.6564,0.4276,0.0275,53.3981,0.4101,0.0191,33111,0.2678,662.5828,30.1875
baseline_b_3,10,16,3,5,202,128,10,1,14.5549,508.3949,171.3392,483,84,84,33,33,0,234,234,598.6714,0.4276,0.0276,36.932,0.4139,0.042,34081,0.2756,664.0128,30.1875
baseline_b_3,10,16,3,5,202,128,10,1,15.057,527.0045,426.2649,483,84,84,33,33,0,234,234,598.6714,0.4276,0.0276,36.932,0.4139,0.042,34081,0.2756,662.6147,30.1875
baseline_b_3,10,16,3,5,202,128,10,1,15.5591,544.5764,407.104,483,84,84,33,33,0,234,234,598.6714,0.4276,0.0276,36.932,0.4139,0.042,34081,0.2756,662.5587,30.1875
baseline_b_3,10,16,3,5,202,128,10,1,16.06,562.1077,424.0059,483,84,84,33,33,0,234,234,598.6714,0.4276,0.0276,36.932,0.4139,0.042,34081,0.2756,662.556,30.1875
baseline_b_3,10,16,3,5,202,128,10,1,16.5611,579.6465,452.9755,483,84,84,33,33,0,234,234,598.6714,0.4276,0.0276,36.932,0.4139,0.042,34081,0.2756,662.556,30.1875
baseline_b_3,10,16,3,5,202,128,10,1,17.0628,597.2053,453.1808,483,84,84,33,33,0,234,234,598.6714,0.4276,0.0276,36.932,0.4139,0.042,34081,0.2756,662.6364,30.1875
baseline_b_3,10,16,3,5,202,128,10,1,17.5631,614.7168,446.4866,483,84,84,33,33,0,234,234,598.6714,0.4276,0.0276,36.932,0.4139,0.042,34081,0.2756,662.556,30.1875
baseline_b_3,10,16,3,5,202,128,10,1,18.0633,632.2233,504.4454,483,84,84,33,33,0,234,234,598.6714,0.4276,0.0276,36.932,0.4139,0.042,34081,0.2756,662.6276,30.1875
baseline_b_3,10,16,3,5,202,128,10,1,18.5653,649.7946,428.449,483,105,105,45,45,0,237,237,576.5596,0.4275,0.0275,38.1146,0.4063,0.0191,34511,0.2791,662.7397,30.1875
baseline_b_3,10,16,3,5,202,128,10,1,19.0668,667.3472,397.0947,483,105,105,45,45,0,237,237,576.5596,0.4275,0.0275,38.1146,0.4063,0.0191,34511,0.2791,662.6777,30.1875
baseline_b_3,10,16,3,5,202,128,10,1,19.5686,684.9099,411.1913,483,105,105,45,45,0,237,237,576.5596,0.4275,0.0275,38.1146,0.4063,0.0191,34511,0.2791,662.6776,30.1875
baseline_b_3,10,16,3,5,202,128,10,1,20.0687,702.413,427.1069,483,105,105,45,45,0,237,237,576.5596,0.4275,0.0275,38.1146,0.4063,0.0191,34511,0.2791,662.7643,30.1875
baseline_b_3,10,16,3,5,202,128,10,1,20.5749,720.1313,160.0459,483,105,105,45,45,0,237,237,576.5596,0.4275,0.0275,38.1146,0.4063,0.0191,34511,0.2791,662.7575,30.1875
baseline_b_3,10,16,3,5,202,128,10,1,21.0768,737.6962,494.9882,483,105,105,45,45,0,237,237,576.5596,0.4275,0.0275,38.1146,0.4063,0.0191,34511,0.2791,662.7445,30.1875
baseline_b_3,10,16,3,5,202,128,10,1,21.5769,755.2,466.2457,483,105,105,45,45,0,237,237,576.5596,0.4275,0.0275,38.1146,0.4063,0.0191,34511,0.2791,662.6777,30.1875
baseline_b_3,10,16,3,5,202,128,10,1,22.0782,772.7464,410.6494,483,126,126,52,52,0,236,236,556.0349,0.4274,0.0272,35.3527,0.4101,0.0095,34491,0.2789,662.6942,30.1875
baseline_b_3,10,16,3,5,202,128,10,1,22.5783,790.2487,453.5318,483,126,126,52,52,0,236,236,556.0349,0.4274,0.0272,35.3527,0.4101,0.0095,34491,0.2789,662.6984,30.1875
baseline_b_3,10,16,3,5,202,128,10,1,23.0792,807.7808,450.4505,483,126,126,52,52,0,236,236,556.0349,0.4274,0.0272,35.3527,0.4101,0.0095,34491,0.2789,662.6984,30.1875
baseline_b_3,10,16,3,5,202,128,10,1,23.5804,825.3223,477.0612,483,126,126,52,52,0,236,236,556.0349,0.4274,0.0272,35.3527,0.4101,0.0095,34491,0.2789,662.7243,30.1875
baseline_b_3,10,16,3,5,202,128,10,1,24.0805,842.8259,474.768,483,126,126,52,52,0,236,236,556.0349,0.4274,0.0272,35.3527,0.4101,0.0095,34491,0.2789,662.6547,30.1875
baseline_b_3,10,16,3,5,202,128,10,1,24.5825,860.3965,431.5769,483,126,126,52,52,0,236,236,556.0349,0.4274,0.0272,35.3527,0.4101,0.0095,34491,0.2789,662.6547,30.1875
baseline_b_3,10,16,3,5,202,128,10,1,25.0827,877.9049,444.4938,483,126,126,52,52,0,236,236,556.0349,0.4274,0.0272,35.3527,0.4101,0.0095,34491,0.2789,662.659,30.1875
baseline_b_3,10,16,3,5,202,128,10,1,25.5839,895.4443,456.8296,483,147,147,58,58,0,233,233,537.0366,0.4272,0.0269,36.7909,0.4139,0.021,34197,0.2766,664.1191,30.1875
baseline_b_3,10,16,3,5,202,128,10,1,26.0851,912.9896,484.6527,483,147,147,58,58,0,233,233,537.0366,0.4272,0.0269,36.7909,0.4139,0.021,34197,0.2766,664.1802,30.1875
baseline_b_3,10,16,3,5,202,128,10,1,26.5867,930.5433,471.0961,483,147,147,58,58,0,233,233,537.0366,0.4272,0.0269,36.7909,0.4139,0.021,34197,0.2766,664.1179,30.1875
baseline_b_3,10,16,3,5,202,128,10,1,27.0878,948.0811,528.3898,483,147,147,58,58,0,233,233,537.0366,0.4272,0.0269,36.7909,0.4139,0.021,34197,0.2766,664.1221,30.1875
baseline_b_3,10,16,3,5,202,128,10,1,27.5914,965.7067,156.3752,483,147,147,58,58,0,233,233,537.0366,0.4272,0.0269,36.7909,0.4139,0.021,34197,0.2766,664.1942,30.1875
baseline_b_3,10,16,3,5,202,128,10,1,28.0933,983.2737,489.876,483,147,147,58,58,0,233,233,537.0366,0.4272,0.0269,36.7909,0.4139,0.021,34197,0.2766,664.1179,30.1875
baseline_b_3,10,16,3,5,202,128,10,1,28.5994,1000.989,157.2265,483,147,147,58,58,0,233,233,537.0366,0.4272,0.0269,36.7909,0.4139,0.021,34197,0.2766,664.1752,30.1875
baseline_b_3,10,16,3,5,202,128,10,1,29.1014,1018.559,321.6727,483,168,168,63,63,0,228,228,519.3006,0.4277,0.0266,35.4347,0.4234,0.0305,33426,0.2703,664.0728,30.1875
baseline_b_3,10,16,3,5,202,128,10,1,29.6017,1036.068,473.4755,483,168,168,63,63,0,228,228,519.3006,0.4277,0.0266,35.4347,0.4234,0.0305,33426,0.2703,663.9938,30.1875
baseline_b_3,10,16,3,5,202,128,10,1,30.1079,1053.785,158.5613,483,168,168,63,63,0,228,228,519.3006,0.4277,0.0266,35.4347,0.4234,0.0305,33426,0.2703,663.9939,30.1875
baseline_b_3,10,16,3,5,202,128,10,1,30.6096,1071.347,536.2411,483,168,168,63,63,0,228,228,519.3006,0.4277,0.0266,35.4347,0.4234,0.0305,33426,0.2703,663.9938,30.1875
baseline_b_3,10,16,3,5,202,128,10,1,31.1161,1089.072,153.1755,483,168,168,63,63,0,228,228,519.3006,0.4277,0.0266,35.4347,0.4234,0.0305,33426,0.2703,663.9938,30.1875
baseline_b_3,10,16,3,5,202,128,10,1,31.6163,1106.578,151.0374,483,168,168,63,63,0,228,228,519.3006,0.4277,0.0266,35.4347,0.4234,0.0305,33426,0.2703,663.9966,30.1875
baseline_b_3,10,16,3,5,202,128,10,1,32.1181,1124.141,547.6328,483,168,168,63,63,0,228,228,519.3006,0.4277,0.0266,35.4347,0.4234,0.0305,33426,0.2703,663.9938,30.1875
